"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Chanukah: 8th Day","12/18/2020",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/25/2020",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/14/2021",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/28/2021",,,,"true","New Year for Trees","3","Jewish Holidays"
"Rosh Chodesh Adar","2/12/2021",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/13/2021",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Shabbat Shekalim","2/13/2021",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Shabbat Zachor","2/20/2021",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","2/25/2021",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","2/25/2021",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","2/26/2021",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","2/28/2021",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/6/2021",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/13/2021",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","3/14/2021",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Ta'anit Bechorot","3/25/2021",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Shabbat HaGadol","3/27/2021",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Erev Pesach","3/27/2021",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","3/28/2021",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","3/29/2021",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","3/30/2021",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","3/31/2021",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/1/2021",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/2/2021",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/3/2021",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/4/2021",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/8/2021",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/12/2021",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/13/2021",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","4/14/2021",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/15/2021",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","4/26/2021",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","4/30/2021",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/10/2021",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/12/2021",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","5/16/2021",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/17/2021",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/18/2021",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/10/2021",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/11/2021",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","6/27/2021",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Rosh Chodesh Av","7/10/2021",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","7/17/2021",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","7/17/2021",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/18/2021",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","7/24/2021",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","7/24/2021",,,,"true","Jewish holiday of love; similar to Valentine's Day","3","Jewish Holidays"
"Rosh Chodesh Elul","8/8/2021",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/9/2021",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Leil Selichot","8/28/2021",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","9/6/2021",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5782","9/7/2021",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/8/2021",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","9/9/2021",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Shabbat Shuva","9/11/2021",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","9/15/2021",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/16/2021",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/20/2021",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/21/2021",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","9/22/2021",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","9/23/2021",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","9/24/2021",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/25/2021",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","9/26/2021",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","9/27/2021",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","9/28/2021",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","9/29/2021",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/6/2021",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/7/2021",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Yom HaAliyah","10/13/2021",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Sigd","11/4/2021",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/5/2021",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","11/28/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","11/29/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","11/30/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/1/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/2/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/3/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/4/2021",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/4/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/5/2021",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/5/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/6/2021",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","12/14/2021",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/3/2022",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","1/17/2022",,,,"true","New Year for Trees","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/1/2022",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar I","2/2/2022",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Purim Katan","2/15/2022",,,,"true","Minor Purim celebration during Adar I on leap years","3","Jewish Holidays"
"Shabbat Shekalim","2/26/2022",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/3/2022",,,,"true","Beginning of new Hebrew month of Adar II (on leap years)","3","Jewish Holidays"
"Rosh Chodesh Adar II","3/4/2022",,,,"true","Beginning of new Hebrew month of Adar II (on leap years)","3","Jewish Holidays"
"Shabbat Zachor","3/12/2022",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/16/2022",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/16/2022",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/17/2022",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/18/2022",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/26/2022",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Rosh Chodesh Nisan","4/2/2022",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","4/2/2022",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Shabbat HaGadol","4/9/2022",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/15/2022",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/15/2022",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/16/2022",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/17/2022",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/18/2022",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/19/2022",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/20/2022",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/21/2022",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/22/2022",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/23/2022",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/28/2022",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","5/1/2022",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","5/2/2022",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","5/4/2022",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","5/5/2022",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/15/2022",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","5/19/2022",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/29/2022",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/31/2022",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","6/4/2022",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","6/5/2022",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","6/6/2022",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/29/2022",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/30/2022",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/17/2022",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Rosh Chodesh Av","7/29/2022",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","8/6/2022",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","8/6/2022",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","8/7/2022",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tu B'Av","8/12/2022",,,,"true","Jewish holiday of love; similar to Valentine's Day","3","Jewish Holidays"
"Shabbat Nachamu","8/13/2022",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Rosh Chodesh Elul","8/27/2022",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/28/2022",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Leil Selichot","9/17/2022",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","9/25/2022",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5783","9/26/2022",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/27/2022",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","9/28/2022",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Shabbat Shuva","10/1/2022",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","10/4/2022",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","10/5/2022",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","10/9/2022",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","10/10/2022",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/11/2022",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/12/2022",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/13/2022",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/14/2022",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/15/2022",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/16/2022",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/17/2022",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/18/2022",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/25/2022",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/26/2022",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Yom HaAliyah","11/1/2022",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Sigd","11/23/2022",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/24/2022",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/25/2022",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/18/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/19/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/20/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/21/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/22/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/23/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/24/2022",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/24/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/25/2022",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","12/25/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/26/2022",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Asara B'Tevet","1/3/2023",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","1/23/2023",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Tu BiShvat","2/6/2023",,,,"true","New Year for Trees","3","Jewish Holidays"
"Shabbat Shekalim","2/18/2023",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/21/2023",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","2/22/2023",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Shabbat Zachor","3/4/2023",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","3/6/2023",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","3/6/2023",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","3/7/2023",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","3/8/2023",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Shabbat Parah","3/11/2023",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Shabbat HaChodesh","3/18/2023",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Rosh Chodesh Nisan","3/23/2023",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaGadol","4/1/2023",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","4/5/2023",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","4/5/2023",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","4/6/2023",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","4/7/2023",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","4/8/2023",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","4/9/2023",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/10/2023",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","4/11/2023",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","4/12/2023",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","4/13/2023",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","4/18/2023",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/21/2023",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","4/22/2023",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","4/25/2023",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","4/26/2023",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Pesach Sheni","5/5/2023",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag BaOmer","5/9/2023",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Yom Yerushalayim","5/19/2023",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","5/21/2023",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Erev Shavuot","5/25/2023",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","5/26/2023",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","5/27/2023",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Rosh Chodesh Tamuz","6/19/2023",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","6/20/2023",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Tzom Tammuz","7/6/2023",,,,"true","Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple","3","Jewish Holidays"
"Rosh Chodesh Av","7/19/2023",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Shabbat Chazon","7/22/2023",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","7/26/2023",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","7/27/2023",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Shabbat Nachamu","7/29/2023",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Tu B'Av","8/2/2023",,,,"true","Jewish holiday of love; similar to Valentine's Day","3","Jewish Holidays"
"Rosh Chodesh Elul","8/17/2023",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","8/18/2023",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Leil Selichot","9/9/2023",,,,"true","Prayers for forgiveness in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","9/15/2023",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5784","9/16/2023",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","9/17/2023",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","9/18/2023",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Shabbat Shuva","9/23/2023",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","9/24/2023",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","9/25/2023",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","9/29/2023",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","9/30/2023",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","10/1/2023",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","10/2/2023",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","10/3/2023",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","10/4/2023",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/5/2023",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","10/6/2023",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","10/7/2023",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","10/8/2023",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/15/2023",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/16/2023",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Yom HaAliyah","10/22/2023",,,,"true","Recognizes Aliyah; immigration to the Jewish State of Israel","3","Jewish Holidays"
"Sigd","11/13/2023",,,,"true","Ethiopian Jewish holiday occurring 50 days after Yom Kippur","3","Jewish Holidays"
"Rosh Chodesh Kislev","11/14/2023",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Chanukah: 1 Candle","12/7/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","12/8/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","12/9/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","12/10/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","12/11/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","12/12/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","12/13/2023",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","12/13/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8 Candles","12/14/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","12/15/2023",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
